event_unique_id,division,occurrencedate,reporteddate,premisetype,occurrencehour,mci_category,neighbourhood
GO-2022348145,D32,2022-02-22 5:00,2022-02-23 5:00,Outside,11,Robbery,Bathurst Manor
GO-2022348240,D55,2022-02-22 5:00,2022-02-23 5:00,Outside,2,Assault,East End-Danforth
GO-2022348258,D32,2022-02-23 5:00,2022-02-23 5:00,Outside,0,Assault,Lawrence Park North
GO-2022348499,D22,2022-02-23 5:00,2022-02-23 5:00,Apartment,2,Assault,New Toronto
GO-2022348499,D22,2022-02-23 5:00,2022-02-23 5:00,Apartment,2,Break and Enter,New Toronto
GO-2022348528,D14,2022-02-23 5:00,2022-02-23 5:00,Apartment,2,Assault,Waterfront Communities-The Island
GO-2022348579,D42,2022-02-22 5:00,2022-02-23 5:00,Apartment,21,Break and Enter,Agincourt North
GO-2022348724,D52,2022-02-23 5:00,2022-02-23 5:00,Commercial,3,Assault,Kensington-Chinatown
GO-2022348751,D14,2022-02-23 5:00,2022-02-23 5:00,Apartment,2,Assault,Waterfront Communities-The Island
GO-2022348974,D41,2022-02-23 5:00,2022-02-23 5:00,Outside,5,Assault,Dorset Park
GO-2022349051,D51,2022-01-15 5:00,2022-02-23 5:00,Apartment,0,Sexual Violation,Church-Yonge Corridor
GO-2022349074,D22,2019-01-01 5:00,2022-02-23 5:00,Apartment,20,Assault,Edenbridge-Humber Valley
GO-2022349436,D32,2022-02-22 5:00,2022-02-23 5:00,Outside,15,Break and Enter,York University Heights
GO-2022349469,D33,2022-02-20 5:00,2022-02-23 5:00,Outside,21,Assault,Don Valley Village
GO-2022351090,D52,2022-02-16 5:00,2022-02-23 5:00,Commercial,12,Assault,Kensington-Chinatown
GO-2022351101,D54,2022-02-23 5:00,2022-02-23 5:00,Commercial,3,Break and Enter,Danforth
GO-2022351200,D52,2022-02-23 5:00,2022-02-23 5:00,Commercial,12,Assault,Bay Street Corridor
GO-2022351216,D52,2022-02-22 5:00,2022-02-23 5:00,Other,23,Assault,Waterfront Communities-The Island
GO-2022351267,D22,2022-02-23 5:00,2022-02-23 5:00,Transit,12,Assault,Islington-City Centre West
GO-2022351316,D33,2022-02-23 5:00,2022-02-23 5:00,Commercial,12,Robbery,Henry Farm
GO-2022351462,D14,2022-02-23 5:00,2022-02-23 5:00,Transit,13,Assault,South Parkdale
GO-2022351522,D14,2022-02-23 5:00,2022-02-23 5:00,Outside,13,Assault,Annex
GO-2022351705,D33,2022-02-20 5:00,2022-02-23 5:00,House,22,Sexual Violation,Banbury-Don Mills
GO-2022351775,D11,2019-01-01 5:00,2022-02-23 5:00,Apartment,0,Assault,Lambton Baby Point
GO-2022351843,D43,2022-02-23 5:00,2022-02-23 5:00,Apartment,14,Assault,Morningside
GO-2022351947,D43,2022-02-23 5:00,2022-02-23 5:00,Apartment,14,Assault,West Hill
GO-2022351996,D31,2022-02-23 5:00,2022-02-23 5:00,Outside,14,Assault,Humber Summit
GO-2022352243,D53,2022-02-23 5:00,2022-02-23 5:00,Apartment,15,Assault,Thorncliffe Park
GO-2022352513,D51,2022-02-23 5:00,2022-02-23 5:00,Apartment,10,Assault,Church-Yonge Corridor
GO-2022352622,D14,2022-02-23 5:00,2022-02-23 5:00,Commercial,2,Assault,Waterfront Communities-The Island
GO-2022352967,D55,2022-01-27 5:00,2022-02-24 5:00,Educational,12,Sexual Violation,South Riverdale
GO-2022352978,D43,2022-02-23 5:00,2022-02-23 5:00,Commercial,16,Robbery,Woburn
GO-2022353305,D14,2022-02-23 5:00,2022-02-23 5:00,Commercial,17,Assault,South Parkdale
GO-2022353538,D32,2022-02-23 5:00,2022-02-23 5:00,Transit,18,Assault,Newtonbrook East
GO-2022353645,D42,2022-02-23 5:00,2022-02-23 5:00,Commercial,18,Assault,LAmoreaux
GO-2022353716,D54,2018-03-01 5:00,2022-02-23 5:00,Outside,0,Sexual Violation,OConnor-Parkview
GO-2022353746,D32,2022-02-23 5:00,2022-02-23 5:00,House,18,Break and Enter,Lawrence Park North
GO-2022355435,D51,2022-02-24 5:00,2022-02-24 5:00,Apartment,2,Assault,Regent Park
GO-2022355673,D12,2022-02-24 5:00,2022-02-24 5:00,Outside,4,Assault,Weston
GO-2022355688,D54,2022-02-20 5:00,2022-02-24 5:00,Apartment,17,Sexual Violation,OConnor-Parkview
GO-2022355714,D23,2022-02-24 5:00,2022-02-24 5:00,Commercial,4,Break and Enter,West Humber-Clairville
GO-2022355797,D55,2022-02-24 5:00,2022-02-24 5:00,House,5,Assault,Greenwood-Coxwell
GO-2022355819,D43,2022-02-24 5:00,2022-02-24 5:00,Other,5,Sexual Violation,West Hill
GO-202235596,D54,2022-01-06 5:00,2022-01-06 5:00,Outside,16,Assault,Taylor-Massey
GO-2022356011,D23,2022-02-24 5:00,2022-02-24 5:00,Commercial,6,Robbery,West Humber-Clairville
GO-2022356037,D54,2022-02-24 5:00,2022-02-24 5:00,Apartment,6,Assault,Flemingdon Park
